Title,Release Date,Budget,Domestic Gross,Worldwide Gross
The Reaping,4/5/2007,"$40,000,000","$25,126,214","$62,226,214"
Season of the Witch,1/7/2011,"$40,000,000","$24,827,228","$91,126,600"
Renaissance Man,6/3/1994,"$40,000,000","$23,822,558","$23,822,558"
Quest for Camelot,5/15/1998,"$40,000,000","$22,717,758","$38,117,758"
City by the Sea,9/6/2002,"$40,000,000","$22,433,915","$22,433,915"
At First Sight,1/15/1999,"$40,000,000","$22,326,247","$22,326,247"
Torque,1/16/2004,"$40,000,000","$21,176,322","$46,176,322"
The Fantastic Mr. Fox,11/13/2009,"$40,000,000","$21,002,919","$47,085,064"
City Hall,2/16/1996,"$40,000,000","$20,231,760","$20,231,760"
Showgirls,9/22/1995,"$40,000,000","$20,170,437","$37,570,437"
Big Miracle,2/3/2012,"$40,000,000","$20,157,300","$25,693,998"
The Impossible,12/21/2012,"$40,000,000","$19,019,882","$169,590,606"
A Thousand Words,3/9/2012,"$40,000,000","$18,450,127","$20,790,486"
Marie Antoinette,10/20/2006,"$40,000,000","$15,962,471","$60,862,471"
Get Carter,10/6/2000,"$40,000,000","$14,967,182","$19,417,182"
Kiss of Death,4/21/1995,"$40,000,000","$14,924,355","$14,924,355"
"Life, or Something Like It",4/26/2002,"$40,000,000","$14,448,589","$14,448,589"
Ishtar,5/15/1987,"$40,000,000","$14,375,181","$14,375,181"
Memoirs of an Invisible Man,2/28/1992,"$40,000,000","$14,358,033","$14,358,033"
Amelia,10/23/2009,"$40,000,000","$14,246,488","$19,722,990"
Cirque du Freak: The Vampire's Assistant,10/23/2009,"$40,000,000","$14,046,595","$39,753,957"
New York Minute,5/7/2004,"$40,000,000","$14,018,364","$21,215,882"
The Deep End of the Ocean,3/12/1999,"$40,000,000","$13,432,982","$13,432,982"
Alfie,11/5/2004,"$40,000,000","$13,395,939","$35,195,939"
FearDotCom,8/30/2002,"$40,000,000","$13,208,023","$13,208,023"
Soul Men,11/7/2008,"$40,000,000","$12,082,391","$12,345,883"
The Gunman,3/20/2015,"$40,000,000","$10,664,749","$13,644,292"
Universal Soldier II: The Return,8/20/1999,"$40,000,000","$10,447,421","$10,717,421"
Pandorum,9/25/2009,"$40,000,000","$10,330,853","$17,033,431"
Duplex,9/26/2003,"$40,000,000","$9,652,000","$10,070,651"
Paranoia,8/16/2013,"$40,000,000","$7,388,654","$16,173,593"
Raise the Titanic,8/1/1980,"$40,000,000","$7,000,000","$7,000,000"
Baahubali: The Beginning,7/10/2015,"$40,000,000","$6,738,000","$26,738,000"
Impostor,1/4/2002,"$40,000,000","$6,114,237","$7,974,607"
Victor Frankenstein,11/25/2015,"$40,000,000","$5,775,076","$33,175,076"
Extreme Ops,11/27/2002,"$40,000,000","$4,835,968","$12,624,471"
Just Visiting,4/6/2001,"$40,000,000","$4,777,007","$16,172,200"
Snowpiercer,6/27/2014,"$40,000,000","$4,563,029","$88,069,880"
Sunshine,7/20/2007,"$40,000,000","$3,675,072","$32,017,122"
The Hudsucker Proxy,3/11/1994,"$40,000,000","$2,816,518","$14,938,149"
Pirates,7/1/1986,"$40,000,000","$1,641,825","$6,341,825"
Delgo,12/12/2008,"$40,000,000","$915,840","$915,840"
The Hunting Party,9/7/2007,"$40,000,000","$876,671","$7,729,552"
Alex Rider: Operation Stormbreaker,10/13/2006,"$40,000,000","$659,210","$20,722,450"
Red Cliff,11/20/2009,"$40,000,000","$627,047","$119,627,047"
The Last Shot,9/24/2004,"$40,000,000","$463,730","$463,730"
The Warlords,4/2/2010,"$40,000,000","$129,078","$38,899,792"
Nomad,3/16/2007,"$40,000,000","$79,123","$79,123"
Un monstre à Paris ,4/16/2013,"$40,000,000",$0,"$27,000,381"
Dragon Nest Warriors' Dawn,12/31/2014,"$40,000,000",$0,"$155,403"
The Crow,12/31/2015,"$40,000,000",$0,$0
The Time Traveler's Wife,8/14/2009,"$39,000,000","$63,414,846","$102,332,135"
Superman III,6/17/1983,"$39,000,000","$59,950,623","$59,950,623"
Because I Said So,2/2/2007,"$39,000,000","$42,674,040","$69,538,833"
Frankenweenie,10/5/2012,"$39,000,000","$35,287,788","$81,150,788"
Sgt. Bilko,3/29/1996,"$39,000,000","$30,141,475","$37,741,475"
Serenity,9/30/2005,"$39,000,000","$25,335,935","$40,140,858"
Against the Ropes,2/20/2004,"$39,000,000","$5,881,504","$6,429,865"
Yi dai zong shi,8/23/2013,"$38,600,000","$6,594,959","$57,987,299"
The Fast and the Furious,6/22/2001,"$38,000,000","$144,512,310","$206,512,310"
Sweet Home Alabama,9/27/2002,"$38,000,000","$127,214,072","$182,365,114"
The Ugly Truth,7/24/2009,"$38,000,000","$88,915,214","$205,298,907"
Spy Kids 2: The Island of Lost Dreams,8/7/2002,"$38,000,000","$85,846,296","$119,721,296"
Star Trek: Generations,11/18/1994,"$38,000,000","$75,510,568","$119,839,306"
Paul Blart: Mall Cop 2,4/17/2015,"$38,000,000","$71,038,190","$107,597,242"
Mouse Hunt,12/19/1997,"$38,000,000","$61,834,214","$61,834,214"
Water for Elephants,4/22/2011,"$38,000,000","$58,709,717","$116,809,717"
Life as We Know It,10/8/2010,"$38,000,000","$53,374,681","$105,887,837"
The Hurricane,12/29/1999,"$38,000,000","$50,699,241","$73,956,241"
Riddick,9/6/2013,"$38,000,000","$42,025,135","$94,763,758"
Heartbreakers,3/23/2001,"$38,000,000","$40,334,024","$57,753,825"
Enough,5/24/2002,"$38,000,000","$39,177,215","$50,970,660"
The 5th Wave,1/22/2016,"$38,000,000","$34,800,570","$110,026,024"
Push,2/6/2009,"$38,000,000","$31,811,527","$44,411,527"
Rush,9/20/2013,"$38,000,000","$26,947,624","$98,230,839"
Angel Eyes,5/18/2001,"$38,000,000","$24,044,532","$29,544,532"
Joe Somebody,12/21/2001,"$38,000,000","$22,770,864","$24,515,990"
The Ninth Gate,3/10/2000,"$38,000,000","$18,653,746","$58,394,308"
Extreme Measures,9/27/1996,"$38,000,000","$17,369,541","$17,369,541"
Rock Star,9/7/2001,"$38,000,000","$16,991,902","$19,317,765"
The Thing,10/14/2011,"$38,000,000","$16,928,670","$27,501,814"
White Squall,2/2/1996,"$38,000,000","$10,229,300","$10,229,300"
City of Ember,10/10/2008,"$38,000,000","$7,871,693","$17,830,244"
Switchback,10/31/1997,"$38,000,000","$6,482,195","$6,482,195"
Texas Rangers,11/30/2001,"$38,000,000","$623,374","$623,374"
Virgin Territory,8/26/2008,"$38,000,000",$0,"$5,473,041"
What to Expect When You're Expecting,5/18/2012,"$37,500,000","$41,152,203","$120,925,697"
The Master,9/14/2012,"$37,500,000","$16,247,159","$58,792,011"
The Express,10/4/2008,"$37,500,000","$9,643,725","$9,663,628"
Twilight,11/21/2008,"$37,000,000","$192,769,854","$402,280,159"
We're the Millers,8/7/2013,"$37,000,000","$150,394,119","$267,816,276"
Creed,11/25/2015,"$37,000,000","$109,767,581","$173,267,581"
The Town,9/17/2010,"$37,000,000","$92,186,262","$152,566,881"
Dolphin Tale,9/23/2011,"$37,000,000","$72,286,779","$96,068,724"
Burn After Reading,9/12/2008,"$37,000,000","$60,355,347","$168,167,798"
Nim's Island,4/4/2008,"$37,000,000","$48,006,762","$101,857,425"
How to be Single,2/12/2016,"$37,000,000","$46,843,513","$99,008,196"
Cop Out,2/26/2010,"$37,000,000","$44,875,481","$55,909,910"
The Rite,1/28/2011,"$37,000,000","$33,047,633","$97,143,987"
Space Chimps,7/18/2008,"$37,000,000","$30,105,968","$67,029,956"
Magnolia,12/17/1999,"$37,000,000","$22,450,975","$48,446,802"
Aloha,5/29/2015,"$37,000,000","$21,052,030","$24,935,799"
Obitaemyy ostrov,12/31/2009,"$36,500,000",$0,"$15,000,000"
Gnomeo and Juliet,2/11/2011,"$36,000,000","$99,967,670","$193,737,977"
John Q,2/15/2002,"$36,000,000","$71,026,631","$102,226,631"
Blue Streak,9/17/1999,"$36,000,000","$68,208,190","$117,448,157"
Never Say Never Again,10/7/1983,"$36,000,000","$55,432,841","$159,932,841"
Hot Tub Time Machine,3/26/2010,"$36,000,000","$50,269,859","$65,967,750"
Breakdown,5/2/1997,"$36,000,000","$50,129,186","$50,129,186"
Dolphin Tale 2,9/12/2014,"$36,000,000","$42,024,533","$57,824,533"
A Man Apart,4/4/2003,"$36,000,000","$26,500,000","$43,797,731"
Reindeer Games,2/25/2000,"$36,000,000","$23,360,779","$23,360,779"
Snow Falling on Cedars,12/24/1999,"$36,000,000","$14,378,353","$14,378,353"
Ghosts of Mississippi,12/20/1996,"$36,000,000","$13,052,741","$13,052,741"
Gattaca,10/24/1997,"$36,000,000","$12,339,633","$12,339,633"
Isn't She Great,1/28/2000,"$36,000,000","$2,954,405","$2,954,405"
Yip Man 3,1/22/2016,"$36,000,000","$2,679,437","$156,809,222"
There Be Dragons,5/6/2011,"$36,000,000","$1,069,334","$4,020,990"
Head of State,3/28/2003,"$35,200,000","$37,788,228","$38,283,765"
The Hangover,6/5/2009,"$35,000,000","$277,322,503","$465,764,086"
The Blind Side,11/20/2009,"$35,000,000","$255,959,475","$305,705,794"
Batman,6/23/1989,"$35,000,000","$248,972,777","$409,132,777"
Austin Powers: The Spy Who Shagged Me,6/10/1999,"$35,000,000","$205,957,794","$310,250,345"
True Grit,12/22/2010,"$35,000,000","$171,050,328","$252,084,251"
Rush Hour,9/18/1998,"$35,000,000","$141,153,686","$245,266,822"
Lethal Weapon 3,5/15/1992,"$35,000,000","$139,799,547","$314,768,020"
Identity Thief,2/8/2013,"$35,000,000","$134,506,920","$175,361,578"
The Devil Wears Prada,6/30/2006,"$35,000,000","$124,740,460","$326,073,155"
Horrible Bosses,7/8/2011,"$35,000,000","$117,538,559","$212,417,601"
Spy Kids,3/30/2001,"$35,000,000","$112,692,062","$197,692,062"
Trainwreck,7/17/2015,"$35,000,000","$110,038,130","$140,561,831"
Saving Mr. Banks,12/13/2013,"$35,000,000","$83,299,761","$114,962,525"
Star Trek: The Motion Picture,12/7/1979,"$35,000,000","$82,258,456","$139,000,000"
21,3/21/2008,"$35,000,000","$81,159,365","$157,852,532"
What Happens in Vegas...,5/3/2008,"$35,000,000","$80,277,646","$218,535,708"
Cape Fear,11/15/1991,"$35,000,000","$79,091,969","$182,291,969"
The English Patient,11/15/1996,"$35,000,000","$78,651,430","$231,651,430"
Guess Who,3/25/2005,"$35,000,000","$67,962,333","$101,162,333"
This is 40,12/21/2012,"$35,000,000","$67,544,505","$90,221,182"
L.A. Confidential,9/19/1997,"$35,000,000","$64,604,977","$110,604,977"
Sky High,7/29/2005,"$35,000,000","$63,939,454","$83,109,359"
In & Out,9/19/1997,"$35,000,000","$63,826,569","$83,226,569"
A Nightmare on Elm Street,4/30/2010,"$35,000,000","$63,075,011","$117,729,621"
The Cell,8/18/2000,"$35,000,000","$61,280,963","$85,911,226"
Species,7/7/1995,"$35,000,000","$60,000,401","$113,300,401"
Secretariat,10/8/2010,"$35,000,000","$59,699,513","$60,376,247"
The Benchwarmers,4/7/2006,"$35,000,000","$57,651,794","$62,871,766"
The Man in the Iron Mask,3/13/1998,"$35,000,000","$56,876,365","$56,876,365"
Friends with Benefits,7/22/2011,"$35,000,000","$55,802,754","$146,595,891"
TMNT,3/23/2007,"$35,000,000","$54,149,098","$96,096,018"
Radio,10/24/2003,"$35,000,000","$52,333,738","$53,293,628"
Old Dogs,11/25/2009,"$35,000,000","$49,492,060","$95,104,304"
Poltergeist,5/22/2015,"$35,000,000","$47,425,125","$95,825,125"
Underworld 3: Rise of the Lycans,1/23/2009,"$35,000,000","$45,802,315","$89,102,315"
Malcolm X,11/18/1992,"$35,000,000","$44,707,772","$44,707,772"
Must Love Dogs,7/29/2005,"$35,000,000","$43,894,863","$58,894,863"
License to Wed,7/3/2007,"$35,000,000","$43,799,818","$70,187,088"
Donnie Brasco,2/28/1997,"$35,000,000","$41,954,997","$65,303,052"
Max Payne,10/17/2008,"$35,000,000","$40,687,294","$85,761,789"
The Ladykillers,3/26/2004,"$35,000,000","$39,692,139","$77,392,139"
Resident Evil,3/15/2002,"$35,000,000","$39,532,308","$103,200,000"
Something Borrowed,5/6/2011,"$35,000,000","$39,046,489","$65,084,116"
The Nativity Story,12/1/2006,"$35,000,000","$37,629,831","$46,309,644"
In Time,10/28/2011,"$35,000,000","$37,553,932","$165,103,952"
The Back-up Plan,4/23/2010,"$35,000,000","$37,490,007","$75,281,179"
J. Edgar,11/9/2011,"$35,000,000","$37,306,030","$84,606,030"
Bounce,11/17/2000,"$35,000,000","$36,805,288","$53,425,292"
Hot Pursuit,5/8/2015,"$35,000,000","$34,580,201","$45,680,201"
Concussion,12/25/2015,"$35,000,000","$34,531,832","$48,660,443"
Closer,12/3/2004,"$35,000,000","$33,987,757","$115,476,509"
Black Knight,11/21/2001,"$35,000,000","$33,422,806","$33,422,806"
Street Fighter,12/23/1994,"$35,000,000","$33,210,975","$99,210,975"
The Bad News Bears,7/22/2005,"$35,000,000","$32,868,349","$33,500,620"
The Pianist,12/27/2002,"$35,000,000","$32,519,322","$111,854,182"
House of Wax,5/6/2005,"$35,000,000","$32,064,800","$70,064,800"
From Hell,10/19/2001,"$35,000,000","$31,598,308","$68,712,365"
Mirrors,8/15/2008,"$35,000,000","$30,691,439","$77,220,596"
Queen of the Damned,2/22/2002,"$35,000,000","$30,307,804","$30,307,804"
Nanny McPhee and the Big Bang,8/20/2010,"$35,000,000","$29,011,215","$97,613,438"
Untraceable,1/25/2008,"$35,000,000","$28,687,835","$52,649,951"
Predator 2,11/21/1990,"$35,000,000","$28,317,513","$54,768,418"
Abduction,9/23/2011,"$35,000,000","$28,087,155","$86,648,359"
Flash Gordon,12/5/1980,"$35,000,000","$27,107,960","$27,107,960"
Superhero Movie,3/28/2008,"$35,000,000","$26,638,520","$73,026,302"
Blast from the Past,2/12/1999,"$35,000,000","$26,494,611","$26,494,611"
Alex Cross,10/19/2012,"$35,000,000","$25,888,412","$33,360,324"
Jersey Girl,3/26/2004,"$35,000,000","$25,266,129","$37,066,129"
Midnight in the Garden of Good and Evil,11/21/1997,"$35,000,000","$25,078,937","$25,078,937"
Heist,11/9/2001,"$35,000,000","$23,483,357","$28,906,817"
Ella Enchanted,4/9/2004,"$35,000,000","$22,913,677","$22,913,677"
Hoffa,12/25/1992,"$35,000,000","$22,867,875","$27,893,490"
The X-Files: I Want to Believe,7/25/2008,"$35,000,000","$20,982,478","$68,170,792"
Premium Rush,8/24/2012,"$35,000,000","$20,275,446","$31,393,201"
Broken City,1/18/2013,"$35,000,000","$19,701,164","$34,480,045"
Valiant,8/19/2005,"$35,000,000","$19,478,106","$64,188,387"
Wonder Boys,2/23/2000,"$35,000,000","$19,389,454","$33,422,485"
Cursed,2/25/2005,"$35,000,000","$19,294,901","$25,114,901"
Walk Hard: The Dewey Cox Story,12/21/2007,"$35,000,000","$18,317,151","$20,606,053"
The Four Feathers,9/20/2002,"$35,000,000","$18,306,166","$29,882,645"
Furry Vengeance,4/30/2010,"$35,000,000","$17,630,465","$39,340,177"
Parker,1/25/2013,"$35,000,000","$17,616,641","$48,543,388"
Wimbledon,9/17/2004,"$35,000,000","$16,862,585","$41,666,476"
Bait,9/15/2000,"$35,000,000","$15,325,127","$15,471,969"
Dungeons and Dragons,12/8/2000,"$35,000,000","$15,185,241","$33,771,965"
Lions for Lambs,11/9/2007,"$35,000,000","$14,998,070","$63,211,088"
Flight of the Intruder,1/18/1991,"$35,000,000","$14,471,440","$14,471,440"
The Tree of Life,5/27/2011,"$35,000,000","$13,305,665","$61,721,826"
American Outlaws,8/17/2001,"$35,000,000","$13,264,986","$13,264,986"
Zoom,8/11/2006,"$35,000,000","$11,631,245","$12,148,105"
The Shipping News,12/25/2001,"$35,000,000","$11,405,825","$24,405,825"
The Young Victoria,12/18/2009,"$35,000,000","$11,001,272","$31,878,891"
Sabotage,3/28/2014,"$35,000,000","$10,508,518","$18,376,443"
Whiteout,9/11/2009,"$35,000,000","$10,275,638","$12,254,746"
Unfinished Business,3/6/2015,"$35,000,000","$10,219,501","$12,819,501"
The Fountain,11/22/2006,"$35,000,000","$10,144,010","$15,461,638"
The Walk,9/30/2015,"$35,000,000","$10,137,502","$61,173,364"
Knock Off,9/4/1998,"$35,000,000","$10,076,136","$10,076,136"
Mandela: Long Walk to Freedom,11/29/2013,"$35,000,000","$8,323,085","$27,480,015"
Punisher: War Zone,12/5/2008,"$35,000,000","$8,050,977","$10,157,534"
The Order,9/5/2003,"$35,000,000","$7,659,747","$11,559,747"
A Good Year,11/10/2006,"$35,000,000","$7,459,300","$42,064,105"
Femme Fatale,11/6/2002,"$35,000,000","$6,592,103","$16,792,103"
Warriors of Virtue,5/2/1997,"$35,000,000","$6,448,817","$6,448,817"
Luther,9/26/2003,"$35,000,000","$5,781,086","$32,738,814"
Biutiful,1/21/2010,"$35,000,000","$5,101,237","$24,687,524"
Radio Flyer,2/21/1992,"$35,000,000","$4,651,977","$4,651,977"
Bound by Honor,4/16/1993,"$35,000,000","$4,496,583","$4,496,583"
Smilla's Sense of Snow,2/28/1997,"$35,000,000","$2,221,994","$2,221,994"
Playing for Keeps,10/3/1986,"$35,000,000","$2,000,000","$2,000,000"
Lion of the Desert,1/1/1980,"$35,000,000","$1,500,000","$1,500,000"
Le hussard sur le toit,4/19/1996,"$35,000,000","$1,286,429","$1,286,429"
Ride With the Devil,11/24/1999,"$35,000,000","$630,779","$630,779"
Bandidas,9/22/2006,"$35,000,000",$0,"$19,282,590"
The Lovers,3/13/2015,"$35,000,000",$0,"$11,106"
Black Water Transit,12/31/2008,"$35,000,000",$0,$0
The Darkest Hour,12/25/2011,"$34,800,000","$21,443,494","$62,831,715"
The Maze Runner,9/19/2014,"$34,000,000","$102,427,862","$345,527,862"
The Longest Ride,4/10/2015,"$34,000,000","$37,446,117","$61,146,117"
The Age of Innocence,9/17/1993,"$34,000,000","$32,014,993","$32,014,993"
Gake no ue no Ponyo,8/14/2009,"$34,000,000","$15,090,399","$205,312,666"
Chill Factor,9/1/1999,"$34,000,000","$11,263,966","$11,263,966"
The Astronaut's Wife,8/27/1999,"$34,000,000","$10,672,566","$10,672,566"
I Dreamed of Africa,5/5/2000,"$34,000,000","$6,543,194","$6,543,194"
Thunder and the House of Magic,9/5/2014,"$34,000,000","$4,091","$10,392,666"
Reds,12/4/1981,"$33,500,000","$50,000,000","$50,000,000"
A Few Good Men,12/11/1992,"$33,000,000","$140,525,790","$235,685,612"
Big Momma's House,6/2/2000,"$33,000,000","$117,559,438","$173,559,438"
Exit Wounds,3/16/2001,"$33,000,000","$51,758,599","$79,958,599"
Step Up Revolution,7/27/2012,"$33,000,000","$35,074,677","$165,552,290"
Snakes on a Plane,8/18/2006,"$33,000,000","$34,020,814","$62,020,814"
The Punisher,4/16/2004,"$33,000,000","$33,571,379","$54,440,783"
The Watcher,9/8/2000,"$33,000,000","$28,946,615","$47,267,829"
Safe,4/27/2012,"$33,000,000","$17,142,080","$41,495,213"
Doomsday,3/14/2008,"$33,000,000","$11,008,770","$21,621,188"
Pushing Tin,4/23/1999,"$33,000,000","$8,408,835","$8,408,835"
Goal! The Dream Begins,5/12/2006,"$33,000,000","$4,283,255","$27,610,873"
The Young and Prodigious T.S. Spivet,7/31/2015,"$33,000,000","$176,847","$357,687"
Rings,10/28/2016,"$33,000,000",$0,$0
Star Wars Ep. VI: Return of the Jedi,5/25/1983,"$32,500,000","$309,125,409","$572,625,409"
Bridesmaids,5/13/2011,"$32,500,000","$169,106,725","$289,527,030"
The Reader,12/10/2008,"$32,500,000","$34,194,407","$113,019,290"
The Big Wedding,4/26/2013,"$32,500,000","$21,819,348","$48,425,971"
Wanderlust,2/24/2012,"$32,500,000","$17,288,155","$24,159,934"
Elf,11/7/2003,"$32,000,000","$173,398,518","$220,236,410"
Phenomenon,7/5/1996,"$32,000,000","$104,632,573","$152,032,573"
This is the End,6/12/2013,"$32,000,000","$101,470,202","$126,539,117"
Snow Dogs,1/18/2002,"$32,000,000","$81,150,692","$116,898,028"
Nacho Libre,6/16/2006,"$32,000,000","$80,197,993","$99,296,462"
Scrooged,11/23/1988,"$32,000,000","$59,450,353","$59,450,353"
Takers,8/27/2010,"$32,000,000","$57,744,720","$70,587,268"
Source Code,4/1/2011,"$32,000,000","$54,712,227","$140,428,499"
Stigmata,9/10/1999,"$32,000,000","$50,041,732","$89,441,732"
Men of Honor,11/10/2000,"$32,000,000","$48,814,909","$82,339,483"
The Transporter 2,9/2/2005,"$32,000,000","$43,095,600","$88,978,202"
"Big Mommas: Like Father, Like Son",2/18/2011,"$32,000,000","$37,915,414","$82,332,450"
The Number 23,2/23/2007,"$32,000,000","$35,193,167","$77,593,167"
Alive,1/15/1993,"$32,000,000","$34,327,309","$34,327,309"
1941,12/14/1979,"$32,000,000","$34,175,000","$94,875,000"
Dreamer: Inspired by a True Story,10/21/2005,"$32,000,000","$33,022,286","$39,498,360"
A History of Violence,9/23/2005,"$32,000,000","$31,493,782","$61,477,797"
The Incredible Burt Wonderstone,3/15/2013,"$32,000,000","$22,537,881","$27,392,609"
The Quick and the Dead,2/10/1995,"$32,000,000","$18,543,650","$18,543,650"
Laws of Attraction,4/30/2004,"$32,000,000","$17,848,322","$29,948,322"
Going the Distance,9/3/2010,"$32,000,000","$17,804,299","$43,603,990"
Bringing Out The Dead,10/22/1999,"$32,000,000","$16,640,210","$16,640,210"
Repo Men,3/19/2010,"$32,000,000","$13,794,835","$18,048,066"
D-War,9/14/2007,"$32,000,000","$10,977,721","$79,915,361"
Bogus,9/6/1996,"$32,000,000","$4,340,826","$4,340,826"
Cats Don't Dance,3/26/1997,"$32,000,000","$3,562,749","$3,562,749"
Cradle Will Rock,12/8/1999,"$32,000,000","$2,899,970","$2,899,970"
The Good German,12/15/2006,"$32,000,000","$1,308,696","$1,308,696"
George and the Dragon,12/31/2004,"$32,000,000",$0,$0
Apocalypse Now,8/15/1979,"$31,500,000","$78,800,000","$81,250,488"
Criminal,4/15/2016,"$31,500,000","$14,249,295","$17,749,295"
Flight,11/2/2012,"$31,000,000","$93,772,375","$160,558,438"
Out of Africa,12/18/1985,"$31,000,000","$79,096,868","$258,210,860"
Moonraker,6/29/1979,"$31,000,000","$70,300,000","$210,300,000"
The Grand Budapest Hotel,3/7/2014,"$31,000,000","$59,076,019","$164,350,409"
Vacation,7/29/2015,"$31,000,000","$58,884,188","$100,655,793"
Arachnophobia,7/18/1990,"$31,000,000","$53,208,180","$53,208,180"
Frequency,4/28/2000,"$31,000,000","$44,983,704","$68,079,671"
Hearts in Atlantis,9/28/2001,"$31,000,000","$24,185,781","$30,885,781"
Extraordinary Measures,1/22/2010,"$31,000,000","$12,482,741","$15,826,984"
Get Shorty,10/20/1995,"$30,250,000","$71,752,669","$114,752,669"
Ghostbusters,6/8/1984,"$30,000,000","$242,212,467","$295,212,467"
Toy Story,11/22/1995,"$30,000,000","$191,652,928","$364,402,211"
Chicago,12/27/2002,"$30,000,000","$170,687,518","$307,687,518"
Big Daddy,6/25/1999,"$30,000,000","$163,479,795","$228,641,283"
American Pie 2,8/10/2001,"$30,000,000","$145,096,820","$286,500,000"
The Vow,2/10/2012,"$30,000,000","$125,014,030","$197,618,160"
Speed,6/10/1994,"$30,000,000","$120,360,822","$282,312,677"
Lee Daniels' The Butler,8/16/2013,"$30,000,000","$116,632,095","$177,025,498"
Remember the Titans,9/29/2000,"$30,000,000","$115,654,751","$136,706,683"
District 9,8/14/2009,"$30,000,000","$115,646,235","$212,453,431"
Dodgeball: A True Underdog Story,6/18/2004,"$30,000,000","$114,326,736","$167,791,704"
The Addams Family,11/22/1991,"$30,000,000","$113,502,246","$191,502,246"
The Hunt for Red October,3/2/1990,"$30,000,000","$113,485,385","$193,275,519"
Ace Ventura: When Nature Calls,11/10/1995,"$30,000,000","$108,344,348","$212,384,285"
The Princess Diaries,8/3/2001,"$30,000,000","$108,244,774","$165,334,774"
Analyze This,3/5/1999,"$30,000,000","$106,823,373","$176,823,373"
The First Wives Club,9/20/1996,"$30,000,000","$105,444,419","$181,444,419"
Million Dollar Baby,12/15/2004,"$30,000,000","$100,422,786","$231,946,985"
Se7en,9/22/1995,"$30,000,000","$100,058,010","$328,058,010"
Mystic River,10/8/2003,"$30,000,000","$90,135,191","$156,822,020"
Pokemon: The First Movie,11/10/1999,"$30,000,000","$85,744,662","$163,644,662"
SpongeBob SquarePants: The Movie,11/19/2004,"$30,000,000","$85,416,609","$142,051,255"
Up in the Air,12/4/2009,"$30,000,000","$83,823,381","$166,842,739"
The Notebook,6/25/2004,"$30,000,000","$81,001,787","$116,117,340"
Hannah Montana the Movie,4/10/2009,"$30,000,000","$79,559,647","$169,156,664"
27 Dresses,1/13/2008,"$30,000,000","$76,806,312","$160,245,463"
Rugrats in Paris,11/17/2000,"$30,000,000","$76,501,438","$103,284,813"
The Prince of Tides,12/25/1991,"$30,000,000","$74,787,599","$74,787,599"
Four Brothers,8/12/2005,"$30,000,000","$74,494,381","$92,494,381"
Looper,9/28/2012,"$30,000,000","$66,486,205","$170,466,405"
Legends of the Fall,12/23/1994,"$30,000,000","$66,484,854","$160,484,854"
Warm Bodies,2/1/2013,"$30,000,000","$66,380,662","$115,121,608"
About Schmidt,12/13/2002,"$30,000,000","$65,005,217","$107,054,484"
The Nut Job,1/17/2014,"$30,000,000","$64,251,538","$122,529,966"
Down to Earth,2/16/2001,"$30,000,000","$64,172,251","$71,172,251"
Babe,8/4/1995,"$30,000,000","$63,634,380","$246,075,470"
Hope Springs,8/8/2012,"$30,000,000","$63,536,011","$133,085,295"
Forgetting Sarah Marshall,4/18/2008,"$30,000,000","$62,932,375","$104,932,954"
Friday Night Lights,10/8/2004,"$30,000,000","$61,188,085","$61,882,934"
Baby Mama,4/25/2008,"$30,000,000","$60,321,790","$63,998,025"
Hope Floats,5/29/1998,"$30,000,000","$60,033,780","$81,452,467"
Bride Wars,1/9/2009,"$30,000,000","$58,715,510","$115,150,424"
Without a Paddle,8/20/2004,"$30,000,000","$58,156,435","$65,121,280"
13 Going On 30,4/23/2004,"$30,000,000","$57,139,723","$96,439,723"
Midnight in Paris,5/20/2011,"$30,000,000","$56,816,662","$162,942,835"
Wallace & Gromit: The Curse of the Were-Rabbit,10/5/2005,"$30,000,000","$56,068,547","$197,593,152"
P.S. I Love You,12/21/2007,"$30,000,000","$53,695,808","$155,769,678"
The Corpse Bride,9/16/2005,"$30,000,000","$53,359,111","$114,770,654"
Letters to Juliet,5/14/2010,"$30,000,000","$53,032,453","$82,148,538"
Blow,4/6/2001,"$30,000,000","$52,990,775","$83,282,296"
Message in a Bottle,2/12/1999,"$30,000,000","$52,799,004","$52,799,004"
Southpaw,7/24/2015,"$30,000,000","$52,421,953","$88,722,991"
Like Mike,7/3/2002,"$30,000,000","$51,432,423","$62,432,423"
Atonement,12/7/2007,"$30,000,000","$50,980,159","$129,779,728"
Naked Gun 33 1/3: The Final Insult,3/18/1994,"$30,000,000","$50,825,302","$50,825,302"
Star Trek V: The Final Frontier,6/9/1989,"$30,000,000","$50,531,965","$68,521,916"
A View to a Kill,5/24/1985,"$30,000,000","$49,667,091","$151,967,091"
Racing Stripes,1/14/2005,"$30,000,000","$49,186,871","$89,369,889"
Sicario,9/18/2015,"$30,000,000","$46,889,293","$78,571,737"
The Three Stooges,4/13/2012,"$30,000,000","$44,338,224","$54,052,249"
Pokemon 2000,7/21/2000,"$30,000,000","$43,746,923","$133,946,923"
Black Rain,9/22/1989,"$30,000,000","$43,140,147","$43,140,147"
Glory Road,1/13/2006,"$30,000,000","$42,647,449","$42,799,060"
The Age of Adaline,4/24/2015,"$30,000,000","$42,629,776","$69,057,415"
Step Up 3D,8/6/2010,"$30,000,000","$42,400,223","$165,889,117"
